Drug1,Drug2,Cell line,ID,ZIP,Bliss,Loewe,HSA
DEXAMETHASONE,AZD1775,A375,5090.5,5.0325,6.702500000000001,-46.3125,3.5825000000000005
DEXAMETHASONE,AZD1775,A427,7358.5,2.175,2.4650000000000003,-54.9525,3.44
DEXAMETHASONE,AZD1775,ES2,18934.5,9.93,9.8475,-51.9075,0.4374999999999998
DEXAMETHASONE,AZD1775,HCT116,21262.5,-5.075,-3.535,-33.835,-1.945
DEXAMETHASONE,AZD1775,HT144,23494.5,4.95,8.0025,-21.7475,1.4649999999999999
DEXAMETHASONE,AZD1775,LNCAP,30466.5,-1.7999999999999998,-7.6274999999999995,-60.8375,-7.4025
DEXAMETHASONE,AZD1775,LOVO,32586.5,-2.54,-1.755,-12.3925,6.5675
DEXAMETHASONE,AZD1775,MDAMB436,34918.5,-0.027500000000000066,1.225,-60.0475,-0.645
DEXAMETHASONE,AZD1775,MSTO,37146.5,-8.497499999999999,-7.21,-4.487500000000001,-1.1199999999999999
DEXAMETHASONE,AZD1775,NCI-H460,46094.5,-2.855,0.9550000000000001,-14.4825,3.0399999999999996
DEXAMETHASONE,AZD1775,NCIH1650,39278.5,-1.5949999999999998,0.74,-44.912499999999994,4.6225000000000005
DEXAMETHASONE,AZD1775,NCIH2122,41610.5,5.6075,4.0875,2.7625,6.1125
DEXAMETHASONE,AZD1775,NCIH23,43886.5,4.3175,5.782500000000001,-37.3775,6.6575
DEXAMETHASONE,AZD1775,NCIH520,48426.5,5.0175,7.085000000000001,-66.64249999999998,7.475
DEXAMETHASONE,AZD1775,OCUBM,50758.5,2.5275,4.8375,-59.7925,5.2175
DEXAMETHASONE,AZD1775,OV90,53090.5,-4.3625,-2.2874999999999996,-2.13,-1.04
DEXAMETHASONE,AZD1775,OVCAR3,55422.5,3.04,4.77,-51.1875,3.2775
DEXAMETHASONE,AZD1775,PA1,57754.5,2.4524999999999997,7.34,-7.555,8.502500000000001
DEXAMETHASONE,AZD1775,RKO,60086.5,3.01,4.7475000000000005,-36.315,3.865
DEXAMETHASONE,AZD1775,RPMI7951,62378.5,2.615,-1.065,-47.525,-8.3425
DEXAMETHASONE,AZD1775,SK-OV-3,69338.5,8.370000000000001,11.432500000000001,7.357500000000001,13.4025
DEXAMETHASONE,AZD1775,SKMEL30,64674.5,5.944999999999999,10.955000000000002,-8.115,5.945
DEXAMETHASONE,AZD1775,SKMES1,67006.5,-2.0625,-1.1675,-2.9825,0.845
DEXAMETHASONE,AZD1775,SW-620,71670.5,2.0475,2.8,-54.349999999999994,1.5499999999999998
DEXAMETHASONE,AZD1775,SW837,74002.5,3.8375,3.4425,-57.879999999999995,0.54
DEXAMETHASONE,AZD1775,T-47D,76270.5,0.5149999999999999,-2.1174999999999997,-7.5375,-3.8325
DEXAMETHASONE,AZD1775,UACC62,78438.5,1.6724999999999999,8.4,-19.0125,7.1375
DEXAMETHASONE,AZD1775,UWB1289,80770.5,0.6625000000000001,-1.8,-33.2975,-1.9175
DEXAMETHASONE,AZD1775,VCAP,85434.5,4.43,3.2775,-73.48249999999999,-0.9325
DEXAMETHASONE,BEZ-235,A2058,462.5,9.975,8.2575,-27.625,2.6875
DEXAMETHASONE,BEZ-235,A2780,2786.5,15.040000000000001,15.267500000000002,-21.0925,14.5175
DEXAMETHASONE,BEZ-235,A375,5094.5,7.0600000000000005,5.9325,-37.235,3.3925
DEXAMETHASONE,BEZ-235,A427,7362.5,0.8724999999999999,-2.2975,-24.6825,-1.25
DEXAMETHASONE,BEZ-235,ES2,18938.5,8.782499999999999,5.047499999999999,-47.7075,-2.685
DEXAMETHASONE,BEZ-235,HCT116,21266.5,-3.9000000000000004,-2.8775,-50.792500000000004,-0.9750000000000002
DEXAMETHASONE,BEZ-235,HT144,23498.5,9.49,8.052499999999998,-37.6175,3.0125
DEXAMETHASONE,BEZ-235,LNCAP,30470.5,7.112499999999999,3.5200000000000005,-32.245,3.6725000000000003
DEXAMETHASONE,BEZ-235,LOVO,32590.5,2.2025,2.0774999999999997,-10.46,8.927499999999998
DEXAMETHASONE,BEZ-235,MDAMB436,34922.5,4.2075,5.1075,-23.6625,3.6374999999999997
DEXAMETHASONE,BEZ-235,MSTO,37150.5,-2.7975000000000003,-2.8975,-2.1375,5.422499999999999
DEXAMETHASONE,BEZ-235,NCI-H460,46098.5,3.9175,1.2575,-57.3075,4.6975
DEXAMETHASONE,BEZ-235,NCIH1650,39282.5,0.30999999999999994,1.9649999999999999,-15.817500000000003,5.7125
DEXAMETHASONE,BEZ-235,NCIH2122,41614.5,11.01,10.7025,8.157499999999999,18.0325
DEXAMETHASONE,BEZ-235,NCIH23,43890.5,6.152500000000001,7.0275,-33.225,8.065000000000001
DEXAMETHASONE,BEZ-235,NCIH520,48430.5,13.957500000000001,12.985,-21.16,13.209999999999999
DEXAMETHASONE,BEZ-235,OCUBM,50762.5,8.3475,8.642500000000002,-34.2275,8.8675
DEXAMETHASONE,BEZ-235,OV90,53094.5,2.075,1.5525,-12.6225,3.2125
DEXAMETHASONE,BEZ-235,OVCAR3,55426.5,6.8725,6.789999999999999,-47.935,5.295
DEXAMETHASONE,BEZ-235,PA1,57758.5,3.8125,4.6075,-11.212499999999999,8.655000000000001
DEXAMETHASONE,BEZ-235,RKO,60090.5,3.625,4.2924999999999995,-22.6425,3.6925
DEXAMETHASONE,BEZ-235,RPMI7951,62382.5,12.72,10.157499999999999,-27.905,4.8525
DEXAMETHASONE,BEZ-235,SK-OV-3,69342.5,7.425,8.2,-4.1325,11.3875
DEXAMETHASONE,BEZ-235,SKMEL30,64678.5,15.2825,15.845,-36.339999999999996,14.435000000000002
DEXAMETHASONE,BEZ-235,SKMES1,67010.5,11.49,12.1575,-18.6625,16.1575
DEXAMETHASONE,BEZ-235,SW-620,71674.5,8.285,8.145,-49.355,7.0075
DEXAMETHASONE,BEZ-235,SW837,74006.5,7.2275,4.5600000000000005,-61.364999999999995,1.875
DEXAMETHASONE,BEZ-235,T-47D,76274.5,10.0225,8.9875,-22.777500000000003,7.505
DEXAMETHASONE,BEZ-235,UACC62,78442.5,4.58,4.4025,-45.11,4.81
DEXAMETHASONE,BEZ-235,UWB1289,80774.5,10.495000000000001,11.295,-27.165,11.084999999999999
DEXAMETHASONE,BEZ-235,VCAP,85438.5,10.235,12.1425,-31.9,8.120000000000001
DEXAMETHASONE,BORTEZOMIB,A2058,466.5,5.385,4.029999999999999,-57.1,-1.77
DEXAMETHASONE,BORTEZOMIB,A2780,2790.5,1.5225,-0.5499999999999999,-19.255,-1.9775
DEXAMETHASONE,BORTEZOMIB,A375,5098.5,3.32,2.705,-55.83,0.37250000000000005
DEXAMETHASONE,BORTEZOMIB,A427,7366.5,0.36,0.1575,-48.252500000000005,0.9375
DEXAMETHASONE,BORTEZOMIB,ES2,18942.5,13.79,9.99,-69.93,1.34
DEXAMETHASONE,BORTEZOMIB,HCT116,21270.5,0.6475,0.8525,-23.880000000000003,1.9400000000000002
DEXAMETHASONE,BORTEZOMIB,HT144,23502.5,3.0524999999999998,-0.5575,-56.7875,-4.6375
DEXAMETHASONE,BORTEZOMIB,LNCAP,30474.5,0.5225000000000001,0.5574999999999999,-51.912499999999994,0.08250000000000024
DEXAMETHASONE,BORTEZOMIB,LOVO,32594.5,-4.5625,-5.09,-5.0175,-3.3525
DEXAMETHASONE,BORTEZOMIB,MDAMB436,34926.5,2.5225,2.0100000000000002,-49.629999999999995,0.3225
DEXAMETHASONE,BORTEZOMIB,MSTO,37154.5,5.5925,7.955,-4.17,12.035
DEXAMETHASONE,BORTEZOMIB,NCI-H460,46102.5,8.1725,5.4025,-13.545000000000002,7.765000000000001
DEXAMETHASONE,BORTEZOMIB,NCIH1650,39286.5,-1.5350000000000001,-5.1925,-28.5275,-4.7
DEXAMETHASONE,BORTEZOMIB,NCIH2122,41618.5,-0.2000000000000001,-1.8650000000000002,-9.584999999999999,2.2424999999999997
DEXAMETHASONE,BORTEZOMIB,NCIH23,43894.5,0.014999999999999993,-2.125,-26.365000000000002,-1.605
DEXAMETHASONE,BORTEZOMIB,NCIH520,48434.5,1.625,-1.23,-47.735,-1.0
DEXAMETHASONE,BORTEZOMIB,OCUBM,50766.5,-0.31500000000000006,-0.4,-47.89,-0.39749999999999996
DEXAMETHASONE,BORTEZOMIB,OV90,53098.5,-0.54,-2.6275,-3.3649999999999998,-2.5
DEXAMETHASONE,BORTEZOMIB,OVCAR3,55430.5,0.7699999999999999,0.37250000000000005,-48.432500000000005,-0.8524999999999999
DEXAMETHASONE,BORTEZOMIB,PA1,57762.5,-2.765,-1.0699999999999998,-18.1725,-0.5575
DEXAMETHASONE,BORTEZOMIB,RKO,60094.5,4.0649999999999995,4.7025,-49.9775,4.165
DEXAMETHASONE,BORTEZOMIB,RPMI7951,62386.5,3.6575,1.7774999999999999,-53.7675,-3.1024999999999996
DEXAMETHASONE,BORTEZOMIB,SK-OV-3,69346.5,-0.9824999999999999,-1.2175,-9.5825,1.1925000000000001
DEXAMETHASONE,BORTEZOMIB,SKMEL30,64682.5,2.8024999999999998,6.23,-18.6,4.365
DEXAMETHASONE,BORTEZOMIB,SKMES1,67014.5,-1.6875,-2.91,-19.945,-0.9724999999999999
DEXAMETHASONE,BORTEZOMIB,SW-620,71678.5,3.715,4.27,-48.91,3.3200000000000003
DEXAMETHASONE,BORTEZOMIB,SW837,74010.5,8.22,3.6149999999999998,-30.9175,0.9424999999999999
DEXAMETHASONE,BORTEZOMIB,T-47D,76278.5,4.97,3.15,-59.690000000000005,1.91
DEXAMETHASONE,BORTEZOMIB,UACC62,78446.5,0.5375,-0.1324999999999999,-46.457499999999996,-0.525
DEXAMETHASONE,BORTEZOMIB,UWB1289,80778.5,0.2925,-1.8849999999999998,-49.16,-2.05
DEXAMETHASONE,BORTEZOMIB,VCAP,85442.5,4.8025,4.0775,-47.1525,1.4375
DEXAMETHASONE,DASATINIB,A2058,470.5,2.6975000000000002,2.585,-10.3675,-6.335
DEXAMETHASONE,DASATINIB,A2780,2794.5,5.5075,7.890000000000001,5.05,6.720000000000001
DEXAMETHASONE,DASATINIB,A375,5102.5,13.662500000000001,18.91,-19.42,15.5475
DEXAMETHASONE,DASATINIB,A427,7370.5,-0.995,-2.3975,-6.682500000000001,-1.495
DEXAMETHASONE,DASATINIB,ES2,18946.5,4.6425,0.7374999999999998,-25.2725,-11.14
DEXAMETHASONE,DASATINIB,HCT116,21274.5,1.18,-16.192500000000003,-21.064999999999998,-21.064999999999998
DEXAMETHASONE,DASATINIB,HT144,23506.5,9.8325,8.97,-0.43250000000000005,-2.37
DEXAMETHASONE,DASATINIB,LNCAP,30478.5,-9.4275,-12.2275,-19.7025,-11.98
DEXAMETHASONE,DASATINIB,LOVO,32598.5,6.930000000000001,6.095000000000001,3.765,13.385
DEXAMETHASONE,DASATINIB,MDAMB436,34930.5,-3.625,-0.4674999999999999,-9.95,-2.5300000000000002
DEXAMETHASONE,DASATINIB,MSTO,37158.5,5.275,2.615,9.805,15.25
DEXAMETHASONE,DASATINIB,NCI-H460,46106.5,-4.652500000000001,-9.4525,-5.175,-5.1525
DEXAMETHASONE,DASATINIB,NCIH1650,39290.5,-3.0725,-3.8675,-10.542499999999999,-1.3775
DEXAMETHASONE,DASATINIB,NCIH2122,41622.5,40.085,39.4525,20.7425,20.7925
DEXAMETHASONE,DASATINIB,NCIH23,43898.5,-2.3600000000000003,1.435,-6.975,2.745
DEXAMETHASONE,DASATINIB,NCIH520,48438.5,5.0225,3.9275,2.1374999999999997,4.115
DEXAMETHASONE,DASATINIB,OCUBM,50770.5,-3.1100000000000003,3.7425,-18.5275,3.5625
DEXAMETHASONE,DASATINIB,OV90,53102.5,-8.674999999999999,-6.5649999999999995,-7.035,-4.6725
DEXAMETHASONE,DASATINIB,OVCAR3,55434.5,0.9475,0.22750000000000004,-5.46,-0.965
DEXAMETHASONE,DASATINIB,PA1,57766.5,4.015000000000001,2.6950000000000003,-6.262500000000001,5.04
DEXAMETHASONE,DASATINIB,RKO,60098.5,-2.7824999999999998,0.027500000000000024,-11.584999999999999,-0.87
DEXAMETHASONE,DASATINIB,RPMI7951,62390.5,-1.385,-7.005,-21.3625,-11.032499999999999
DEXAMETHASONE,DASATINIB,SK-OV-3,69350.5,8.36,7.934999999999999,-2.3674999999999997,10.58
DEXAMETHASONE,DASATINIB,SKMEL30,64686.5,9.91,10.217500000000001,-5.8025,-5.800000000000001
DEXAMETHASONE,DASATINIB,SKMES1,67018.5,15.067499999999999,14.52,-8.7,18.5175
DEXAMETHASONE,DASATINIB,SW-620,71682.5,-1.3625,1.6925000000000001,0.03250000000000004,0.03250000000000004
DEXAMETHASONE,DASATINIB,SW837,74014.5,3.2874999999999996,2.1375,-12.91,-0.16999999999999993
DEXAMETHASONE,DASATINIB,T-47D,76282.5,-6.76,-8.8425,-16.442500000000003,-10.35
DEXAMETHASONE,DASATINIB,UACC62,78450.5,-3.3525,0.5274999999999999,-10.97,0.7499999999999999
DEXAMETHASONE,DASATINIB,UWB1289,80782.5,6.817500000000001,1.1475,-9.17,1.0425
DEXAMETHASONE,DASATINIB,VCAP,85446.5,1.85,1.4975,-7.6475,-3.7824999999999998
DEXAMETHASONE,DINACICLIB,A2058,474.5,7.205,3.6625,-62.08500000000001,-3.03
DEXAMETHASONE,DINACICLIB,A2780,2798.5,1.0,0.07750000000000001,-47.775,-0.7375
DEXAMETHASONE,DINACICLIB,A375,5106.5,5.13,7.105,-56.80500000000001,4.43
DEXAMETHASONE,DINACICLIB,A427,7374.5,0.6725,-0.455,-45.535000000000004,0.285
DEXAMETHASONE,DINACICLIB,ES2,18950.5,7.345,4.467499999999999,-59.8825,-2.8024999999999998
DEXAMETHASONE,DINACICLIB,HCT116,21278.5,-0.05750000000000003,-1.6774999999999998,-24.224999999999998,-0.43749999999999994
DEXAMETHASONE,DINACICLIB,HT144,23510.5,2.3200000000000003,-0.7999999999999999,-69.51499999999999,-5.5675
DEXAMETHASONE,DINACICLIB,LNCAP,89950.5,7.33,2.9025,-58.815,2.785
DEXAMETHASONE,DINACICLIB,LOVO,32602.5,-3.265,-3.8550000000000004,-8.175,-1.3849999999999998
DEXAMETHASONE,DINACICLIB,MDAMB436,34934.5,4.0575,3.1325,-38.3925,1.0274999999999999
DEXAMETHASONE,DINACICLIB,MSTO,37162.5,-11.2275,-15.1025,-11.3025,-10.8475
DEXAMETHASONE,DINACICLIB,NCI-H460,46110.5,-1.2725,-1.76,-24.81,0.04749999999999993
DEXAMETHASONE,DINACICLIB,NCIH1650,39294.5,0.9225000000000001,2.46,-41.395,2.7775
DEXAMETHASONE,DINACICLIB,NCIH2122,41626.5,-1.2025,0.86,-4.175,3.885
DEXAMETHASONE,DINACICLIB,NCIH23,43902.5,0.94,0.5549999999999999,-26.675,0.7749999999999999
DEXAMETHASONE,DINACICLIB,NCIH520,48442.5,1.8375,3.41,-26.255000000000003,3.0625
DEXAMETHASONE,DINACICLIB,OCUBM,50774.5,1.8975,5.05,-56.2275,4.765000000000001
DEXAMETHASONE,DINACICLIB,OV90,53106.5,-1.195,-4.6325,-7.9725,-3.48
DEXAMETHASONE,DINACICLIB,OVCAR3,55438.5,2.9450000000000003,1.5500000000000003,-62.0,-0.9700000000000001
DEXAMETHASONE,DINACICLIB,PA1,57770.5,0.46999999999999986,3.3475,-18.14,4.7575
DEXAMETHASONE,DINACICLIB,RKO,60102.5,3.0725000000000002,4.905,-58.175000000000004,4.2875
DEXAMETHASONE,DINACICLIB,RPMI7951,62394.5,4.17,2.7375000000000003,-57.6825,-2.85
DEXAMETHASONE,DINACICLIB,SK-OV-3,69354.5,-0.4875,4.8325,-0.25749999999999995,3.0325
DEXAMETHASONE,DINACICLIB,SKMEL30,64690.5,0.5225,1.9674999999999998,-53.9125,0.2749999999999999
DEXAMETHASONE,DINACICLIB,SKMES1,67022.5,-2.7275,-3.4275,-22.4475,-0.8474999999999999
DEXAMETHASONE,DINACICLIB,SW-620,71686.5,4.675,4.8625,-33.86,3.17
DEXAMETHASONE,DINACICLIB,SW837,74018.5,4.0325,3.9225,-73.1325,1.0174999999999998
DEXAMETHASONE,DINACICLIB,T-47D,76286.5,0.5850000000000001,-1.7099999999999997,-36.900000000000006,-3.22
DEXAMETHASONE,DINACICLIB,UACC62,78454.5,-3.325,-5.285,-70.435,-5.494999999999999
DEXAMETHASONE,DINACICLIB,UWB1289,80786.5,2.365,-0.125,-46.325,-1.4774999999999998
DEXAMETHASONE,DINACICLIB,VCAP,85450.5,6.4125,6.6675,-62.370000000000005,2.9099999999999997
DEXAMETHASONE,ERLOTINIB,A2058,478.5,-0.9,-0.5525000000000001,-41.38,-9.565
DEXAMETHASONE,ERLOTINIB,A2780,2802.5,3.7524999999999995,4.62,-26.5875,3.3049999999999997
DEXAMETHASONE,ERLOTINIB,A375,5110.5,-1.9475000000000002,2.355,-25.977500000000003,-1.3000000000000003
DEXAMETHASONE,ERLOTINIB,A427,7378.5,-0.9050000000000002,-1.63,-27.244999999999997,-0.3899999999999999
DEXAMETHASONE,ERLOTINIB,ES2,18954.5,9.2125,4.475,-3.46,-6.075
DEXAMETHASONE,ERLOTINIB,HCT116,21282.5,-5.1925,-6.6625,-16.7975,-4.575
DEXAMETHASONE,ERLOTINIB,HT144,23514.5,-1.6325,-0.1725,-35.0525,-6.3525
DEXAMETHASONE,ERLOTINIB,LNCAP,30482.5,2.5625,-4.330000000000001,-36.735,-4.080000000000001
DEXAMETHASONE,ERLOTINIB,LOVO,32606.5,-3.3125000000000004,-1.3625000000000003,-12.5775,6.3325
DEXAMETHASONE,ERLOTINIB,MDAMB436,34938.5,-4.0,-1.33,-23.302500000000002,-3.2300000000000004
DEXAMETHASONE,ERLOTINIB,MSTO,37166.5,-2.7725,-16.0475,-14.504999999999999,-4.154999999999999
DEXAMETHASONE,ERLOTINIB,NCI-H460,46114.5,-6.9125,-4.677499999999999,-10.4575,-0.7575000000000001
DEXAMETHASONE,ERLOTINIB,NCIH1650,39298.5,9.7075,11.0425,5.045,14.5125
DEXAMETHASONE,ERLOTINIB,NCIH2122,41630.5,7.425,7.342499999999999,7.4325,16.72
DEXAMETHASONE,ERLOTINIB,NCIH23,43906.5,-2.94,-2.175,-24.234999999999996,-0.795
DEXAMETHASONE,ERLOTINIB,NCIH520,48446.5,0.27749999999999986,3.0725000000000002,-10.572500000000002,3.12
DEXAMETHASONE,ERLOTINIB,OCUBM,50778.5,-2.295,0.34750000000000003,-30.807499999999997,0.7625
DEXAMETHASONE,ERLOTINIB,OV90,53110.5,-3.5349999999999997,-5.0375,-3.2625,-2.955
DEXAMETHASONE,ERLOTINIB,OVCAR3,55442.5,6.0075,7.21,-14.85,5.455
DEXAMETHASONE,ERLOTINIB,PA1,57774.5,2.395,5.26,0.07750000000000001,6.0
DEXAMETHASONE,ERLOTINIB,RKO,60106.5,-4.2575,-7.095,-9.035,-7.99
DEXAMETHASONE,ERLOTINIB,RPMI7951,62398.5,-2.1075,0.855,-39.02,-7.5425
DEXAMETHASONE,ERLOTINIB,SK-OV-3,69358.5,6.465,10.16,-4.484999999999999,14.540000000000001
DEXAMETHASONE,ERLOTINIB,SKMEL30,64694.5,-3.6649999999999996,-0.5900000000000001,-28.485000000000003,-2.015
DEXAMETHASONE,ERLOTINIB,SKMES1,67026.5,2.2125000000000004,2.1449999999999996,-11.700000000000001,5.4575000000000005
DEXAMETHASONE,ERLOTINIB,SW-620,71690.5,3.3474999999999997,1.7375,1.3625,-1.0274999999999999
DEXAMETHASONE,ERLOTINIB,SW837,74022.5,6.380000000000001,8.0175,-13.0225,5.335
DEXAMETHASONE,ERLOTINIB,T-47D,76290.5,-4.477500000000001,-4.4174999999999995,-30.067500000000003,-6.0175
DEXAMETHASONE,ERLOTINIB,UACC62,78458.5,-5.1825,-1.9275,-25.5375,-1.4074999999999998
DEXAMETHASONE,ERLOTINIB,UWB1289,80790.5,4.0975,4.615,-15.559999999999999,4.425
DEXAMETHASONE,ERLOTINIB,VCAP,85454.5,2.6875,0.14000000000000012,-11.34,-4.92
DEXAMETHASONE,GELDANAMYCIN,A2058,482.5,11.3325,8.7775,-31.187500000000004,3.7925
DEXAMETHASONE,GELDANAMYCIN,A2780,2806.5,3.005,3.3024999999999998,-35.16499999999999,2.5925000000000002
DEXAMETHASONE,GELDANAMYCIN,A375,5114.5,5.59,5.765,-34.7825,2.76
DEXAMETHASONE,GELDANAMYCIN,A427,7382.5,3.42,2.8074999999999997,-18.71,3.6700000000000004
DEXAMETHASONE,GELDANAMYCIN,ES2,18958.5,10.7175,7.01,-50.44500000000001,-3.88
DEXAMETHASONE,GELDANAMYCIN,HCT116,21286.5,-0.395,-0.46999999999999986,-11.1,0.26
DEXAMETHASONE,GELDANAMYCIN,HT144,23518.5,5.984999999999999,2.94,-40.260000000000005,-0.97
DEXAMETHASONE,GELDANAMYCIN,LNCAP,30486.5,10.474999999999998,8.5125,-17.4525,8.7075
DEXAMETHASONE,GELDANAMYCIN,LOVO,32610.5,-6.754999999999999,-1.615,-10.02,-1.425
DEXAMETHASONE,GELDANAMYCIN,MDAMB436,34942.5,5.0625,5.2775,-26.272499999999997,3.5975
DEXAMETHASONE,GELDANAMYCIN,MSTO,37170.5,-4.0525,-3.8899999999999997,-8.4375,-0.06499999999999995
DEXAMETHASONE,GELDANAMYCIN,NCI-H460,46118.5,0.7875000000000001,0.14249999999999996,-21.7575,2.0925
DEXAMETHASONE,GELDANAMYCIN,NCIH1650,39302.5,1.5025,1.7325,-32.1275,4.4925
DEXAMETHASONE,GELDANAMYCIN,NCIH2122,41634.5,-3.4050000000000002,-4.4475,-7.7375,0.0925
DEXAMETHASONE,GELDANAMYCIN,NCIH23,43910.5,0.785,-2.6475,-30.167499999999997,-1.9774999999999998
DEXAMETHASONE,GELDANAMYCIN,NCIH520,48450.5,0.175,-4.109999999999999,-35.29,-3.84
DEXAMETHASONE,GELDANAMYCIN,OCUBM,50782.5,1.9749999999999999,7.510000000000001,-20.2575,5.5600000000000005
DEXAMETHASONE,GELDANAMYCIN,OV90,53114.5,0.012500000000000011,-4.449999999999999,-11.165000000000001,-3.39
DEXAMETHASONE,GELDANAMYCIN,OVCAR3,55446.5,8.442499999999999,6.5,-4.1225000000000005,2.4275
DEXAMETHASONE,GELDANAMYCIN,PA1,57778.5,-0.47250000000000003,7.845,-1.825,10.03
DEXAMETHASONE,GELDANAMYCIN,RKO,60110.5,4.125,4.45,-46.394999999999996,3.8524999999999996
DEXAMETHASONE,GELDANAMYCIN,RPMI7951,62402.5,1.605,-1.5775,-34.315,-4.7225
DEXAMETHASONE,GELDANAMYCIN,SK-OV-3,69362.5,0.49,0.7075,1.87,3.1875
DEXAMETHASONE,GELDANAMYCIN,SKMEL30,64698.5,6.7825,11.3075,-0.88,8.7
DEXAMETHASONE,GELDANAMYCIN,SKMES1,67030.5,2.535,2.8800000000000003,-12.2925,6.1675
DEXAMETHASONE,GELDANAMYCIN,SW-620,71694.5,5.0175,4.2475000000000005,-36.739999999999995,3.42
DEXAMETHASONE,GELDANAMYCIN,SW837,74026.5,7.9174999999999995,6.672499999999999,-24.5225,4.0725
DEXAMETHASONE,GELDANAMYCIN,T-47D,76294.5,0.9275000000000001,0.845,-3.2875,-0.9575
DEXAMETHASONE,GELDANAMYCIN,UACC62,78462.5,1.68,0.3024999999999999,-40.3625,0.6799999999999999
DEXAMETHASONE,GELDANAMYCIN,UWB1289,80794.5,12.36,4.5075,7.1675,3.4
DEXAMETHASONE,GELDANAMYCIN,VCAP,85458.5,6.765000000000001,7.925000000000001,4.1825,2.98
DEXAMETHASONE,L778123,A2058,486.5,0.2549999999999999,4.625,-17.147499999999997,-4.085
DEXAMETHASONE,L778123,A2780,2810.5,4.695,5.3025,-8.4125,4.6425
DEXAMETHASONE,L778123,A375,5118.5,3.8325,5.7475000000000005,-8.1525,2.7375
DEXAMETHASONE,L778123,A427,7386.5,-3.2225,0.7124999999999999,0.8125,1.98
DEXAMETHASONE,L778123,ES2,18962.5,-2.3725,-2.56,-28.8925,-12.34
DEXAMETHASONE,L778123,HCT116,21290.5,-11.15,-5.7524999999999995,-19.5325,-3.8625000000000003
DEXAMETHASONE,L778123,HT144,23522.5,0.5599999999999999,3.175,-15.774999999999999,-2.3249999999999997
DEXAMETHASONE,L778123,LNCAP,30490.5,1.75,2.8775,-8.345,3.0774999999999997
DEXAMETHASONE,L778123,LOVO,32614.5,-8.920000000000002,-10.895,-9.867500000000001,-3.3850000000000002
DEXAMETHASONE,L778123,MDAMB436,34946.5,-0.6999999999999998,4.32,-10.192499999999999,2.5100000000000002
DEXAMETHASONE,L778123,MSTO,37174.5,-9.785,-8.7025,-4.16,4.12
DEXAMETHASONE,L778123,NCI-H460,46122.5,-6.109999999999999,-0.9925,-7.6125,2.9875
DEXAMETHASONE,L778123,NCIH1650,39306.5,-11.6425,-8.5975,-8.4175,-3.9274999999999998
DEXAMETHASONE,L778123,NCIH2122,41638.5,-17.685,-18.604999999999997,-5.495,-2.5675000000000003
DEXAMETHASONE,L778123,NCIH23,43914.5,-1.6075,-1.6725,-12.64,-0.4349999999999999
DEXAMETHASONE,L778123,NCIH520,48454.5,1.8425,5.375,-10.43,5.704999999999999
DEXAMETHASONE,L778123,OCUBM,50786.5,-0.24249999999999994,1.9575,-3.365,2.3150000000000004
DEXAMETHASONE,L778123,OV90,53118.5,-5.115,1.9100000000000001,1.81,3.4475
DEXAMETHASONE,L778123,OVCAR3,55450.5,6.5024999999999995,9.377500000000001,0.1499999999999999,0.1499999999999999
DEXAMETHASONE,L778123,PA1,57782.5,1.5775,4.6425,-11.092500000000001,9.407499999999999
DEXAMETHASONE,L778123,RKO,60114.5,-1.4949999999999999,1.565,-11.14,0.7949999999999999
DEXAMETHASONE,L778123,RPMI7951,62406.5,3.82,2.735,-20.205000000000002,-4.67
DEXAMETHASONE,L778123,SK-OV-3,69366.5,0.3024999999999999,10.3075,12.120000000000001,12.1675
DEXAMETHASONE,L778123,SKMEL30,64702.5,15.5,17.62,-7.945,16.53
DEXAMETHASONE,L778123,SKMES1,67034.5,-6.1875,-1.9674999999999998,-12.307500000000001,3.3225000000000002
DEXAMETHASONE,L778123,SW-620,71698.5,1.37,2.765,-14.427500000000002,1.4125
DEXAMETHASONE,L778123,SW837,74030.5,-3.7625,1.4549999999999998,-4.885,-1.8425
DEXAMETHASONE,L778123,T-47D,76298.5,-1.78,-3.9475,-7.9475,-5.577500000000001
DEXAMETHASONE,L778123,UACC62,78466.5,-3.5999999999999996,3.3275,-5.3774999999999995,3.885
DEXAMETHASONE,L778123,UWB1289,80798.5,4.255,6.529999999999999,-3.5875000000000004,6.3025
DEXAMETHASONE,L778123,VCAP,85462.5,4.445,10.2525,-5.13,6.1274999999999995
DEXAMETHASONE,LAPATINIB,A2058,490.5,4.18,3.39,-31.0225,-6.365
DEXAMETHASONE,LAPATINIB,A2780,2814.5,4.5975,6.550000000000001,-27.377499999999998,5.0575
DEXAMETHASONE,LAPATINIB,A375,5122.5,0.11,-0.475,-4.46,-4.46
DEXAMETHASONE,LAPATINIB,A427,7390.5,-1.8025,-2.3225,-18.752499999999998,-0.9675
DEXAMETHASONE,LAPATINIB,ES2,18966.5,3.995,-1.635,-24.455000000000002,-13.375
DEXAMETHASONE,LAPATINIB,HCT116,21294.5,-4.47,-7.9775,-7.0675,-5.7525
DEXAMETHASONE,LAPATINIB,HT144,23526.5,1.2475,0.3625,-36.989999999999995,-6.33
DEXAMETHASONE,LAPATINIB,LNCAP,30494.5,-2.2275,-8.9175,-14.4075,-8.6475
DEXAMETHASONE,LAPATINIB,LOVO,32618.5,-2.4625000000000004,-1.7875,0.9125,8.8375
